"filename", "language", "JSON", "JavaScript JSX", "PostCSS", "JavaScript", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 9, 19
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\package-lock.json", "JSON", 4277, 0, 0, 0, 0, 0, 0, 0, 1, 4278
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\App.css", "PostCSS", 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\App.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 12, 20, 144
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\components\Navbar.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 5, 9, 64
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\index.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\sb943\OneDrive\Desktop\WEB DEV\ReactPoj\reactGalleryPoject\vite.config.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 1, 2, 17
"Total", "-", 4310, 171, 38, 42, 13, 2, 10, 18, 53, 4657
